speaker1,speaker1_token_number,speaker1_expression_token_number,speaker1_expression_number,speaker1_er_ratio,speaker2,speaker2_token_number,speaker2_expression_token_number,speaker2_expression_number,speaker2_er_ratio,speaker3,speaker3_token_number,speaker3_expression_token_number,speaker3_expression_number,speaker3_er_ratio,total_token_number,total_er_token_number,av_er_ratio,total_er_number,file,s1,s2,s3,var_speaker,,,,sum_ina,0.30239521,0.100798403,,sum_a
S0083,2737,1834,1335,0.670076726,S0084,5081,3226,2506,0.634914387,S0086,667,471,337,0.706146927,8485,5531,0.651856217,4178,SE88.tsv,0.32256924,0.59882145,0.078609311,0.260273062,0,0,1,1,0,0,0,0
S0655,1653,940,771,0.568663037,S0653,1085,717,580,0.660829493,S0654,243,121,89,0.497942387,2981,1778,0.596444146,1440,S24D.tsv,0.554511909,0.363971822,0.08151627,0.23798163,0,0,1,1,0,0,0,0
S0653,2771,1328,1115,0.479249368,S0655,323,241,183,0.746130031,S0654,956,679,513,0.710251046,4050,2248,0.555061728,1811,S46J.tsv,0.684197531,0.079753086,0.236049383,0.313745752,0,1,0,1,0,0,0,0
S0392,2116,1221,975,0.577032136,S0391,2781,1978,1504,0.711254944,S0397,1684,1019,771,0.605106888,6581,4218,0.640936028,3250,SC8H.tsv,0.321531682,0.422580155,0.255888163,0.083970318,0,0,0,0,0,0,0,0
S0172,6032,3823,2817,0.633786472,S0173,5305,3759,2731,0.708576814,S0174,896,594,418,0.662946429,12233,8176,0.668356086,5966,SM8P.tsv,0.493092455,0.433663043,0.073244503,0.2271951,0,0,1,1,0,0,0,0
S0012,4303,2984,2079,0.693469672,S0013,1314,857,619,0.652207002,S0008,7119,4897,3504,0.687877511,12736,8738,0.686086683,6202,STB7.tsv,0.337861181,0.103172111,0.558966709,0.227931031,0,1,0,1,0,0,0,0
S0653,1170,708,567,0.605128205,S0654,476,266,210,0.558823529,S0655,594,337,279,0.567340067,2240,1311,0.585267857,1056,SVZE.tsv,0.522321429,0.2125,0.265178571,0.165774344,0,0,0,0,0,0,0,0
S0190,2322,1751,1255,0.754091301,S0192,3265,1886,1418,0.577641654,S0227,2721,1341,1042,0.492833517,8308,4978,0.599181512,3715,ST7J.tsv,0.279489649,0.392994704,0.327515648,0.056975727,0,0,0,0,0,0,0,0
S0551,906,519,392,0.572847682,S0548,1058,615,485,0.581285444,S0549,1598,1110,864,0.694618273,3562,2244,0.629983156,1741,SVLH.tsv,0.254351488,0.297024144,0.448624368,0.102099246,0,0,0,0,0,0,0,0
S0152,7732,5702,4100,0.737454734,S0013,2380,1367,1019,0.574369748,S0012,4871,3078,2195,0.6319031,14983,10147,0.677234199,7314,S6AK.tsv,0.516051525,0.158846693,0.325101782,0.178744627,0,0,0,0,0,0,0,0
S0202,582,331,276,0.568728522,S0208,386,195,155,0.505181347,S0216,543,328,247,0.604051565,1511,854,0.565188617,678,S69G.tsv,0.385175381,0.25545996,0.359364659,0.068664001,0,0,0,0,0,0,0,0
S0520,3029,2090,1581,0.689996699,S0521,1062,648,475,0.610169492,S0519,2655,1563,1224,0.588700565,6746,4301,0.637563,3280,SAAB.tsv,0.449006819,0.157426623,0.393566558,0.154841156,0,0,0,0,0,0,0,0
S0519,5165,3063,2271,0.59303001,S0520,4708,3331,2372,0.707519116,S0521,2330,1564,1102,0.671244635,12203,7958,0.652134721,5745,SQ3P.tsv,0.423256576,0.385806769,0.190936655,0.124732644,0,0,0,0,0,0,0,0
S0475,1100,553,458,0.502727273,S0417,1197,791,643,0.660818713,S0476,32,28,21,0.875,2329,1372,0.589094032,1122,SVN7.tsv,0.472305711,0.513954487,0.013739802,0.277558415,0,0,1,1,0,0,0,0
