speaker1,speaker1_token_number,speaker1_expression_token_number,speaker1_expression_number,speaker1_er_ratio,speaker2,speaker2_token_number,speaker2_expression_token_number,speaker2_expression_number,speaker2_er_ratio,speaker3,speaker3_token_number,speaker3_expression_token_number,speaker3_expression_number,speaker3_er_ratio,total_token_number,total_er_token_number,av_er_ratio,total_er_number,file
S0266,1378,862,666,0.625544267053701,S0267,2755,1710,1386,0.6206896551724138,S0268,553,224,151,0.4050632911392405,4686,2796,0.5966709346991037,2203,SHZP.tsv
S0167,2284,1320,1054,0.5779334500875657,S0104,1993,1059,809,0.5313597591570497,S0110,277,155,111,0.5595667870036101,4554,2534,0.5564339042599912,1974,STKH.tsv
S0152,5664,3477,2692,0.6138771186440678,S0012,3939,2804,2051,0.7118558009647119,S0013,1637,654,419,0.39951130116065975,11240,6935,0.6169928825622776,5162,SD65.tsv
S0655,1165,734,563,0.6300429184549357,S0653,4051,2494,2066,0.6156504566773636,S0654,868,389,268,0.44815668202764974,6084,3617,0.5945101906640368,2897,S6PD.tsv
S0266,762,557,405,0.7309711286089239,S0267,2520,1530,1269,0.6071428571428571,S0310,660,293,208,0.44393939393939397,3942,2380,0.6037544393708777,1882,STQF.tsv
S0654,1273,629,495,0.49410840534171246,S0655,1504,934,680,0.6210106382978723,S0653,3679,1593,1164,0.43299809730905137,6456,3156,0.4888475836431227,2339,SHC3.tsv
S0082,3456,2212,1764,0.6400462962962963,S0084,2067,1283,1027,0.6207063376874697,S0086,794,343,243,0.43198992443324935,6317,3838,0.607566883014089,3034,SJW4.tsv
S0249,3946,2349,1741,0.5952863659401926,S0245,1409,959,698,0.680624556422995,S0246,2875,1428,988,0.49669565217391304,8230,4736,0.5754556500607534,3427,S8K6.tsv
S0417,2053,990,792,0.48222113979542136,S0416,1381,577,407,0.4178131788559015,S0418,43,17,15,0.3953488372093023,3477,1584,0.455565142364107,1214,SQNA.tsv
S0329,744,478,381,0.6424731182795699,S0352,873,450,367,0.5154639175257731,S0326,650,281,199,0.4323076923076923,2267,1209,0.533303925893251,947,SDAA.tsv
S0167,4791,2577,1979,0.5378835316217908,S0149,2303,1469,1042,0.6378636561007381,S0148,1204,617,364,0.5124584717607974,8298,4663,0.5619426367799469,3385,SMKK.tsv
S0653,3846,2255,1867,0.5863234529381175,S0655,1057,661,478,0.6253547776726585,S0654,981,462,311,0.4709480122324159,5884,3378,0.5740992522093814,2656,SHX8.tsv
S0537,4400,2970,2158,0.675,S0538,5894,3526,2730,0.5982354937224296,S0539,440,239,154,0.5431818181818182,10734,6735,0.6274455002794858,5042,S8RU.tsv
S0255,4020,2444,1678,0.6079601990049751,S0257,9927,6414,4641,0.6461166515563614,S0256,5638,2526,1295,0.4480312167435261,19585,11384,0.5812611692621904,7614,S3C6.tsv
S0192,22695,16627,11344,0.7326283322317692,S0199,10990,7815,5106,0.7111010009099181,S0197,6606,2843,1579,0.4303663336360884,40291,27285,0.6771983817726043,18029,SJB4.tsv
S0084,5695,3166,2514,0.5559262510974539,S0041,4254,2717,2008,0.6386929948283968,S0046,234,143,92,0.6111111111111112,10183,6026,0.5917705980555829,4614,SQWC.tsv
S0544,2955,1583,1261,0.5357021996615905,S0543,3708,2470,1959,0.6661272923408845,S0561,355,197,128,0.5549295774647888,7018,4250,0.6055856369335993,3348,S5MM.tsv
S0084,4542,2661,2070,0.5858652575957728,S0041,2971,1868,1410,0.6287445304611242,S0046,702,384,236,0.5470085470085471,8215,4913,0.5980523432744979,3716,SUNR.tsv
S0419,11520,6854,4889,0.5949652777777777,S0012,6937,5242,3546,0.7556580654461583,S0013,1372,656,379,0.478134110787172,19829,12752,0.6430984921075192,8814,SW6K.tsv
S0013,4152,2479,1794,0.5970616570327553,S0012,939,589,423,0.6272630457933972,S0152,4935,2259,1514,0.45775075987841946,10026,5327,0.5313185717135448,3731,S9B9.tsv
S0653,1938,1099,882,0.567079463364293,S0655,742,423,303,0.5700808625336927,S0654,1563,737,505,0.4715291106845809,4243,2259,0.5324063162856469,1690,SES2.tsv
S0653,1565,815,669,0.5207667731629393,S0654,408,237,185,0.5808823529411765,S0655,862,327,244,0.37935034802784223,2835,1379,0.48641975308641977,1098,S5XL.tsv
S0034,323,124,114,0.38390092879256965,S0109,135,64,55,0.4740740740740741,S0123,251,93,79,0.3705179282868526,709,281,0.39633286318758815,248,SNBD.tsv
