speaker_number,vo_overlap,vo_total,total_token_number,overlap,s1_and_other,s2_and_other,s3_and_other,file,av_er_ratio
3,825,886,5994,0.310383747,325,305,195,SEJK.tsv,0.654539386
3,785,754,5473,0.347038019,286,241,258,SJA5.tsv,0.614105609
3,1580,1547,19866,0.34044387,612,545,423,SHTW.tsv,0.660338403
3,958,995,7966,0.320938023,349,227,382,S4KW.tsv,0.65239769
3,575,558,3139,0.34348865,215,189,171,S83A.tsv,0.616119783
3,930,1118,8077,0.277280859,242,373,315,SZP6.tsv,0.611117989
3,729,723,4649,0.336099585,273,217,239,SADE.tsv,0.609378361
3,559,601,3200,0.310038824,219,148,192,SKJ3.tsv,0.5340625
3,349,708,3859,0.164312618,63,135,151,SBBP.tsv,0.479917077
3,407,476,1810,0.285014006,165,140,102,S2GS.tsv,0.526929484
3,1637,1502,14394,0.363293387,564,528,545,SKRC.tsv,0.677049294
3,774,816,4719,0.316176471,267,252,255,S78H.tsv,0.601186692
3,658,690,3563,0.317874396,229,213,216,SKZX.tsv,0.591916924
3,705,662,4452,0.354984894,245,249,211,SG7X.tsv,0.633872417
3,1640,1940,26299,0.281786942,776,775,89,S7SU.tsv,0.71782197
3,1305,1139,10899,0.38191396,450,412,443,S2LD.tsv,0.669143958
3,563,540,3178,0.347530864,178,221,164,SUGV.tsv,0.5874764
3,318,340,1440,0.311764706,86,114,118,SUDM.tsv,0.528551532
3,391,401,1978,0.325020781,92,154,145,SJEM.tsv,0.533872599
3,1066,1258,14284,0.28245893,142,467,457,S6YA.tsv,0.606277147
3,728,728,5232,0.333333333,284,248,196,SZ94.tsv,0.622825464
3,946,1119,7504,0.281799225,276,300,370,SZNA.tsv,0.614205757
3,249,317,1547,0.261829653,116,23,110,SVAT.tsv,0.569489334
3,516,523,3234,0.328871893,153,182,181,SF2C.tsv,0.56462585
3,958,1127,9251,0.283348122,384,342,232,S8CW.tsv,0.634093612
3,562,588,2651,0.318594104,188,206,168,S4T3.tsv,0.553753301
3,684,725,3851,0.314482759,238,243,203,SCWW.tsv,0.617242275
3,865,1076,10161,0.267967782,362,144,359,SXAZ.tsv,0.672276351
3,347,341,1520,0.339198436,126,118,103,S49H.tsv,0.554605263
3,892,916,6257,0.324599709,348,296,248,SDJL.tsv,0.616909062
3,678,685,4297,0.329927007,255,240,183,S8W2.tsv,0.609273066
3,1309,1344,14163,0.324652778,326,462,521,SG78.tsv,0.651648895
3,454,484,2253,0.312672176,180,155,119,S2TC.tsv,0.581261101
3,2336,2322,30890,0.335343095,780,693,863,SNJP.tsv,0.698073498
3,883,796,6107,0.369765494,327,234,322,SGCA.tsv,0.63762895
3,974,976,9032,0.332650273,333,371,270,SG5Q.tsv,0.634189548
3,1238,1157,12331,0.356669548,476,469,293,SUQM.tsv,0.667504663
3,1527,1465,16766,0.347440273,537,511,479,SNG4.tsv,0.680066802
3,1067,1082,8717,0.328712261,405,337,325,SRU7.tsv,0.663875186
3,906,917,5995,0.329334787,372,367,167,SBSJ.tsv,0.630358632
3,1056,939,8430,0.37486688,336,350,370,S9F9.tsv,0.648401284
3,879,886,7814,0.330699774,337,348,194,SYHW.tsv,0.624648068
3,1231,1309,11093,0.313470843,468,468,295,SKCY.tsv,0.664112503
3,814,1089,10039,0.249158249,369,369,76,S7PM.tsv,0.687917123
3,1321,1184,12030,0.371903153,475,493,353,SR7C.tsv,0.679800499
3,1201,1409,8626,0.284125858,425,383,393,SK8N.tsv,0.618715895
3,1274,1209,10819,0.35125448,393,455,426,SJSC.tsv,0.660316286
3,1220,1349,10288,0.30145787,493,224,503,SAB7.tsv,0.642884914
3,1379,1584,22887,0.290193603,661,658,60,S8BQ.tsv,0.712356309
3,757,699,4881,0.360991893,263,271,223,SQ2L.tsv,0.63954918
3,803,779,5129,0.34360291,216,310,277,S6MQ.tsv,0.596412556
3,1036,1222,13536,0.282596836,430,432,174,S8CB.tsv,0.668218085
3,898,992,10578,0.301747312,385,373,140,SHGE.tsv,0.689494681
3,872,825,6526,0.352323232,328,325,219,SCWC.tsv,0.663346614
3,2136,2139,24193,0.332865825,771,550,815,S3JF.tsv,0.683875501
3,439,413,2186,0.354317998,157,148,134,SJKD.tsv,0.552073733
3,1159,1150,10469,0.335942029,431,382,346,SQPN.tsv,0.657178336
3,415,433,2130,0.31947652,133,157,125,S7RD.tsv,0.555399061
3,1475,1441,16356,0.341198242,536,382,557,SP62.tsv,0.663181707
3,1665,1553,21932,0.357372827,628,616,421,S2T6.tsv,0.69283043
3,602,816,4923,0.245915033,256,156,190,SKY7.tsv,0.610669925
3,322,358,1257,0.29981378,106,126,90,SYFN.tsv,0.503194888
3,1014,1401,10508,0.241256246,35,490,489,SJG5.tsv,0.639893415
3,1563,1622,18177,0.321208385,637,608,318,SZNG.tsv,0.679154976
3,1900,1729,18992,0.366300366,571,660,669,SXCB.tsv,0.647566884
3,1616,1566,18138,0.34397616,586,523,507,SXNE.tsv,0.682199184
3,1662,1823,16096,0.303894679,651,532,479,SF3V.tsv,0.676317097
