speaker_number,vo_overlap,vo_total,total_token_number,overlap,s1_and_other,s2_and_other,s3_and_other,s4_and_other,file,av_er_ratio
4,635,505,2635,0.314356436,196,164,170,105,S67P.tsv,0.60227704
4,438,445,2287,0.246067416,185,179,71,3,SQQX.tsv,0.563183209
4,544,487,2089,0.27926078,111,163,130,140,S8TN.tsv,0.554807692
4,1356,1144,8294,0.296328671,382,360,412,202,SKL3.tsv,0.631540873
4,1415,1163,10446,0.304170249,417,234,324,440,SG56.tsv,0.661836676
4,1019,740,4921,0.344256757,211,222,290,296,SWF6.tsv,0.605593255
4,636,505,2665,0.314851485,206,200,113,117,SBPW.tsv,0.590619137
4,2104,1800,18126,0.292222222,461,584,582,477,S263.tsv,0.67428887
4,1807,1296,12365,0.348572531,559,515,388,345,SZAK.tsv,0.673839185
4,856,719,4722,0.297635605,273,260,250,73,STA2.tsv,0.619007213
4,775,670,3390,0.289179104,181,164,225,205,SA9P.tsv,0.596745562
4,1587,1384,15024,0.286669075,510,301,343,433,SFER.tsv,0.685702875
4,2764,1787,27962,0.386681589,739,685,533,807,S4TV.tsv,0.699692176
4,798,685,5042,0.291240876,218,153,251,176,SJSS.tsv,0.637445458
4,1390,1089,7747,0.319100092,321,370,387,312,SLJW.tsv,0.624709227
4,484,426,1744,0.284037559,84,121,129,150,SKA7.tsv,0.585632184
4,1885,1547,16018,0.304621849,527,395,460,503,SYHP.tsv,0.674865776
