speaker1,speaker1_token_number,speaker1_expression_token_number,speaker1_expression_number,speaker1_er_ratio,speaker2,speaker2_token_number,speaker2_expression_token_number,speaker2_expression_number,speaker2_er_ratio,speaker3,speaker3_token_number,speaker3_expression_token_number,speaker3_expression_number,speaker3_er_ratio,speaker4,speaker4_token_number,speaker4_expression_token_number,speaker4_expression_number,speaker4_er_ratio,total_token_number,total_er_token_number,av_er_ratio,total_er_number,file
S0024,858,399,253,0.46503496503496505,S0144,864,349,218,0.4039351851851852,S0012,1768,594,381,0.33597285067873306,S0013,255,92,59,0.3607843137254902,3745,1434,0.3829105473965287,911,SHLT.tsv
S0392,3660,1577,1003,0.4308743169398907,S0390,3458,1830,1109,0.5292076344707923,S0391,3139,1645,992,0.5240522459381969,S0393,2216,1151,709,0.519404332129964,12473,6203,0.4973141986691253,3813,S3U3.tsv
S0104,2263,795,513,0.3513035793194874,S0110,552,210,154,0.3804347826086957,S0379,987,451,278,0.4569402228976697,S0167,461,183,114,0.3969631236442516,4263,1639,0.3844710297912268,1059,SH5J.tsv
S0330,1684,859,549,0.5100950118764845,S0326,1711,578,391,0.33781414377556984,S0328,1334,601,387,0.4505247376311844,S0331,1274,543,356,0.4262166405023548,6003,2581,0.42995169082125606,1683,STKW.tsv
S0330,3462,1685,1097,0.48671288272674756,S0328,2559,1388,822,0.5423993747557639,S0331,2701,1188,762,0.43983709737134397,S0326,2784,1778,1048,0.6386494252873564,11506,6039,0.5248565965583174,3729,SUTB.tsv
S0415,148,24,15,0.16216216216216217,S0417,1133,490,314,0.4324801412180053,S0475,1816,569,373,0.31332599118942733,S0418,10,2,2,0.2,3107,1085,0.34921145799806885,704,S9ZU.tsv
S0393,1814,830,507,0.45755237045203967,S0545,3448,1607,982,0.46606728538283065,S0392,6998,3472,2181,0.496141754787082,S0391,4398,2460,1437,0.5593451568894953,16658,8369,0.5024012486492976,5107,SWY3.tsv
S0024,2004,1083,663,0.5404191616766467,S0142,8131,3336,2091,0.4102816381748862,S0143,416,139,93,0.33413461538461536,S0144,3573,1817,1109,0.5085362440526169,14124,6375,0.4513593882752761,3956,SJNJ.tsv
S0024,2599,972,622,0.3739899961523663,S0012,1585,893,522,0.5634069400630914,S0144,1986,922,569,0.46424974823766363,S0013,493,211,131,0.4279918864097363,6663,2998,0.44994747110911,1844,S6EX.tsv
S0370,4815,2040,1299,0.4236760124610592,S0012,3087,1692,1046,0.5481049562682215,S0278,1151,514,324,0.4465682015638575,S0013,990,537,352,0.5424242424242425,10043,4783,0.47625211590162303,3021,SHC8.tsv
S0343,6443,3457,2054,0.5365512959801335,S0336,14578,8639,5165,0.592605295650981,S0337,5126,3000,1814,0.5852516582130316,S0342,4915,2666,1603,0.5424211597151577,31062,17762,0.5718240937479879,10636,S3LE.tsv
S0428,43,3,2,0.06976744186046512,S0437,1391,471,309,0.3386053199137311,S0438,452,167,104,0.3694690265486726,S0469,881,360,234,0.4086265607264472,2767,1001,0.3617636429345862,649,SBNU.tsv
S0013,1003,412,257,0.4107676969092722,S0024,1340,547,366,0.4082089552238806,S0144,632,251,158,0.3971518987341772,S0012,1276,605,370,0.47413793103448276,4251,1815,0.4269583627381793,1151,S5TE.tsv
S0058,5296,2832,1783,0.5347432024169184,S0179,8614,4471,2751,0.5190387740886928,S0026,9291,5264,3220,0.5665697987299537,S0120,2325,1589,968,0.6834408602150538,25526,14156,0.5545718091357831,8722,SG3Q.tsv
S0246,4131,2338,1340,0.5659646574679255,S0245,1711,866,514,0.5061367621274109,S0249,3123,1432,856,0.4585334614153058,S0357,2891,1432,818,0.4953303355240401,11856,6068,0.511808367071525,3528,S5LP.tsv
